p_meaca,p_mrgse,p_camera,p_camera_R,p_qusage,p_plage,p_ora
0.8761812327167605,0.3756848087602024,0.6820938353335905,0.6445273262977789,0.7826018329847829,0.918,0.2536597305812718
0.8087815256588299,0.4724084379058759,0.4832198151195224,0.6138577209534818,0.7960877889538313,0.936,0.9908913749516327
0.9641422730829039,0.7750830396529935,0.97885950816786,0.8712356085354077,0.9519309578965938,0.974,0.3374122646631232
0.9964019470518592,0.3456577198072821,0.9442697254415309,0.5792151734219775,0.9926485438051877,0.766,0.04438262089056468
0.764768806780876,0.29342823562238163,0.6752034449902627,0.6258264592237421,0.5083732745510009,0.929,0.9719974319451603
0.9531517103579511,0.48765198059752224,0.7645199453847416,0.6603886993491174,0.8940887076836819,0.74,0.7166749011350148
0.8915690536007082,0.5851686484871844,0.7836698816837462,0.7624387932242399,0.8172101661587285,0.961,0.2678259128767233
0.9405028309527315,0.6580026933588217,0.8679840524028035,0.8283903956230557,0.85931432725369294,0.877,0.03302605535832959
0.8314174259697484,0.4106483673544543,0.6049593779852289,0.6672411540783154,0.6732594484896345,0.929,0.4601265572458856
0.9950946308938028,0.8914952342262631,0.8737017796475859,0.9494860582873396,0.9764163355104438,0.842,0.5530823958138906
0.8187940785380019,0.659575224256834,0.8315916175522748,0.8444170546979326,0.4438556074840319,0.933,0.8546835193593225
0.8026312474845492,0.7830926177012437,0.7313428330285798,0.868909574895107,0.6883443199000618,0.969,0.07431424188722441
0.7281857485295401,0.8518199920797795,0.7904658705321795,0.8949217293274537,0.648918907362313,0.981,0.39281945644311617
0.5608007109793266,0.755141746219652,0.7773181232065607,0.8069675840438619,0.4673065430313905,0.922,0.5829067385367992
0.6174329349799601,0.22531200574121824,0.6262521193462828,0.6329260882255625,0.022977055507844547,0.757,0.20362812070902853
0.5457003169158479,0.1433565539076997,0.3599211696919551,0.3148780405678396,0.3835902041111989,0.912,0.5662098980183028
0.7359075083843131,0.4676617414523885,0.6758574697843158,0.6582571031545605,0.6228410200219984,0.937,0.5519158831700095
