p_meaca,p_mrgse,p_sigpath,p_camera,p_camera_R,p_qusage,p_plage,p_ora
0.38224017145275013,0.24225748189375143,0.233,0.6667170178346764,0.6646853137106787,0.640041569460306,0.393,0.7765939257181219
0.2384595890249832,0.2573901900527103,0.227,0.44878187025945715,0.46951639861892336,0.38957770035602013,0.262,0.1537681690989709
0.3290886244331288,0.30574431921802364,0.302,0.5846280119966472,0.5684998154410226,0.5311964735643326,0.331,0.3128262607851759
0.6315052630644318,0.9917759352163174,0.671,0.8462794993905054,0.9961028341450614,0.8387893366502651,0.326,0.06486038947190344
0.6001664953087114,0.5170355301137306,0.664,0.7450387904197423,0.6357642182201033,0.7057332036229271,0.294,0.5418438228636026
0.613658416839473,0.5933639553635521,0.625,0.842843696936799,0.8246331642528973,0.834439280393636,0.342,0.5385059176838712
0.3758424972753378,0.43740026840492513,0.352,0.6810160266098808,0.7259170958042263,0.6394028336928825,0.288,0.1537681690989709
0.3133743342960845,0.38787149832768486,0.37,0.5912756121251872,0.6115314028301201,0.5608210799116004,0.318,0.5385059176838712
0.8407660016482463,0.8778694736088231,0.849,0.885731824915381,0.9136493709260738,0.8815981360841821,0.357,0.5385059176838712
0.5760489615690649,0.43764643284538457,0.517,0.5983641300153337,0.5322809822670604,0.5625361001090723,0.347,0.06609348855845944
0.5670953237023852,0.4785706699790603,0.519,0.7911805915955171,0.7559753294925311,0.7599649357130986,0.481,0.1537681690989709
0.25234064080451146,0.30981766389859383,0.386,0.5297324201695957,0.4908500141815392,0.47696170171323393,0.368,0.3128262607851759
0.9983191510122075,0.9696245936440644,0.996,0.9988574650019859,0.982213464239909,0.9913461228891292,0.293,0.3128262607851759
0.2305713492955992,0.15105388424218077,0.133,0.38879822752561133,0.38555693198434327,0.3318495166435791,0.372,0.3128262607851759
0.07079848836082547,0.1796040517683875,0.145,0.40512316101561385,0.4426977042955056,0.3441969186046354,0.379,0.06486038947190344
0.45227688906870855,0.5528665939727363,0.426,0.7011946843945238,0.7642718718990074,0.661100829437764,0.275,0.02380629535406692
0.6527927334017551,0.8401175096363306,0.669,0.8147975316683241,0.9087010050027453,0.8037097925373188,0.379,0.15598217618332708
0.6675075939279346,0.5619345573035074,0.704,0.8661923393609842,0.7654546935526391,0.8433120614724299,0.283,0.3159789057017956
0.9136760471475368,0.8744725748500869,0.892,0.9303594717778341,0.913401005175069,0.9326882185309877,0.394,0.02380629535406692
0.8681539361199292,0.8692417600285727,0.893,0.937156420032619,0.921132258973089,0.9402870136773906,0.278,0.3128262607851759
0.10344535123359089,0.14081571570785167,0.104,0.32380583647137684,0.35153752832777607,0.25783460268880964,0.341,0.7765939257181219
0.08854971805658596,0.2449447616734123,0.194,0.44623820365634825,0.4879283707302319,0.3839727434577145,0.279,0.02380629535406692
0.9754128066407759,0.94491860911815,0.979,0.989219205721517,0.972207270636636,0.9979904876208848,0.381,0.1537681690989709
0.7750344032756386,0.9582612631043327,0.777,0.8654311550199207,0.976110366725861,0.842436051072021,0.239,0.3159789057017956
0.23209439581677527,0.1898365157477877,0.147,0.26719652954105616,0.29612621239786713,0.20242375774218369,0.25,0.5385059176838712
0.5468212125567906,0.4830981304779357,0.635,0.817246708039294,0.7349630162824756,0.7881281373596476,0.34,0.1537681690989709
0.7448595042985996,0.6696830718879112,0.766,0.8875312661109251,0.8422300056893828,0.8647424114691038,0.265,0.5385059176838712
0.13131653722999248,0.022507384115993793,0.015,0.3971903379069638,0.4363246543438051,0.34277668953251356,0.372,0.5385059176838712
0.04941072457418605,0.09314639755960565,0.052,0.2645018452205394,0.3223035277602243,0.20039926598600655,0.338,0.3159789057017956
0.5894433388368461,0.5573293477839294,0.681,0.81191071997641,0.7367637411896681,0.7990714735346084,0.349,0.5385059176838712
0.9437809827528694,0.9417224615969133,0.963,0.9765191104909627,0.9697568870202974,0.9839646941512146,0.334,0.3128262607851759
0.5915186415868501,0.6257243376894592,0.615,0.6566339775326449,0.6702012153067178,0.6149239334316237,0.337,0.5385059176838712
0.45109997170647365,0.0950919770875535,0.16,0.6680578468829128,0.6003925992493526,0.6410066495883869,0.288,0.5385059176838712
0.5072679478435699,0.48405592772875977,0.457,0.7622380643101234,0.7713149691963155,0.7260899348502776,0.365,0.5385059176838712
0.6375825062708602,0.6843160039220044,0.655,0.7722077650158667,0.7927845805765685,0.7379996461084917,0.39,0.3128262607851759
0.8761195081683162,0.806311524074781,0.864,0.9393983959912527,0.9121991781203334,0.9449136881556711,0.312,0.3159789057017956
0.7456180262183063,0.7477223875702577,0.8,0.8957249782224134,0.8778598146372394,0.8933449372349472,0.282,0.02437363612997934
0.5035409377582702,0.6643616478663891,0.555,0.7251096203488943,0.7798069978367397,0.7023068550895597,0.369,0.3128262607851759
0.4074121982589676,0.5022448433868049,0.471,0.6331482267607322,0.6445447454512185,0.6081294102968894,0.302,0.7765939257181219
0.883861526708371,0.959508435710353,0.893,0.9286036993143216,0.9742603752546841,0.9087820354012865,0.389,0.06486038947190344
0.05924755852250774,0.059189152305833104,0.029,0.3640795615260589,0.41264325404789093,0.3152467528724234,0.345,0.1537681690989709
0.5610092235126238,0.7793139765300118,0.573,0.7650548322603863,0.8817122500781457,0.7484117199397655,0.3,0.06486038947190344
0.9122832989770161,0.9945364064107858,0.895,0.9515712593588986,0.9972989545930656,0.936520048582618,0.418,0.5418438228636026
0.15248734201518277,0.3473906075694567,0.234,0.42987911710001947,0.5463470179224205,0.3721868995415376,0.356,0.02380629535406692
0.5412443855098721,0.7542653901149452,0.558,0.7885112532784733,0.8853621901668629,0.7746505396465134,0.359,0.3128262607851759
0.35348516721463263,0.23814569421143736,0.307,0.6795890284726409,0.61075535273394,0.6533283263542009,0.269,0.5418438228636026
0.026443968793012362,0.004768611378363598,0.007,0.2683617761944972,0.2546439247080761,0.21367948623923533,0.255,0.7812442219142368
0.33199904695261084,0.47846521080086,0.479,0.6557953796101765,0.6493487823011914,0.6076692546031817,0.38,0.7765939257181219
0.044666289264266745,0.04249074744268311,0.036,0.21643842305173663,0.21985019273718381,0.1625972489455656,0.3,0.3128262607851759
