p_meaca,p_mrgse,p_sigpath,p_camera,p_camera_R,p_gsea,p_qusage,p_plage,p_ora
0.8372438871350718,0.7445180359349046,0.81,0.8820455383369746,0.8567931063083579,0.3946053946053946,0.7891668761758039,0.303,0.06734025469295887
0.7716633666799639,0.4792036914434539,0.387,0.6906915354385644,0.7374905928475697,0.40476523476523474,0.5856479037770222,0.336,0.9426118451675107
0.9764597189026796,0.5805229517869066,0.616,0.7866149251432593,0.7564713344686709,0.38175824175824175,0.9397218133062715,0.308,0.3159789057017956
0.9975127219588579,0.16459725490327723,0.192,0.274503872055311,0.25292177498567364,0.36663336663336665,0.9935688535676737,0.269,0.5385059176838712
0.7413387262554467,0.3803278288570959,0.414,0.7133540786937151,0.6884019841322214,0.3686513486513487,0.3422360719635168,0.423,0.9434221525810278
0.9557050602267634,0.9951854564887412,0.802,0.9098729684362775,0.9974237238188004,0.379000999000999,0.9118688716101471,0.34,0.3128262607851759
0.8897176800272881,0.8778207565164602,0.76,0.880370606480759,0.9320709767709461,0.3962737262737263,0.8286915609149301,0.34,0.1537681690989709
0.9322983871983662,0.5003934583154408,0.622,0.7672196458062055,0.6793056788288481,0.386033966033966,0.888716125957717,0.206,0.06609348855845944
0.7822549786128657,0.987503983371799,0.85,0.9191905155286768,0.9920053919989229,0.40018981018981015,0.6970531524274844,0.402,0.3159789057017956
0.9949078496600998,0.9219415329806135,0.981,0.9982525412176777,0.9665532645027144,0.4017882117882118,0.9795265316578208,0.316,0.3128262607851759
0.7962133995513335,0.5240835609379028,0.552,0.7174073280141037,0.691927074343492,0.3663936063936064,0.6836800708592388,0.35,0.5418438228636026
0.7774292919590643,0.9729868649544168,0.87,0.9519154310694345,0.9868997704302567,0.3409490509490509,0.5952728123328889,0.289,0.7765939257181219
0.7495814286118518,0.8773660858809228,0.729,0.8633788645750341,0.9290208512845792,0.38647352647352645,0.6706473256682675,0.28,0.3159789057017956
0.7137296124512977,0.5234968633318859,0.538,0.684913921610082,0.6743721602866465,0.3626373626373626,0.4798150765317594,0.404,0.5385059176838712
0.707387702327684,0.15833192221714043,0.184,0.6395671976359341,0.6171817983638929,0.36736263736263736,0.18957999099018497,0.291,0.5385059176838712
0.5432925732223883,0.21672038613618078,0.187,0.5700208260680184,0.5932007919441993,0.365024975024975,0.03242984260986791,0.339,0.7765939257181219
0.64906262096157,0.34856481718085874,0.353,0.6192536437531263,0.6112234206695417,0.39466533466533466,0.25377867733353854,0.323,0.5385059176838712
0.5626501736514156,0.6096361490293327,0.699,0.7493006397788542,0.6967964385947805,0.3768231768231768,0.5173310887428967,0.386,0.3128262607851759
0.5361437610101303,0.01017298927570895,0.011,0.1488637510894663,0.14218008298384505,0.3804995004995005,0.2444699124364511,0.313,0.9434221525810278
0.9790821519817723,0.6278193874154381,0.754,0.8574795589278167,0.8169041695169137,0.37035964035964036,0.9651590768578955,0.343,0.7765939257181219
0.9183085009041678,0.72885365521586,0.73,0.8337264310343749,0.839011038268834,0.3771128871128871,0.8860968173069241,0.316,0.02437363612997934
0.9382554570868714,0.21105501427280343,0.133,0.47375352251235314,0.5489538418557649,0.3938161838161838,0.8452705136441157,0.307,0.02495020611997788
0.7979238172611195,0.6945486732290623,0.862,0.8582519434635849,0.7438275467115836,0.42886113886113886,0.7655775448953468,0.33,0.3128262607851759
0.6928812126257945,0.35918119512311547,0.254,0.6139933106664974,0.6492586431578953,0.4005994005994006,0.4817195853600252,0.398,0.7765939257181219
0.6184369699393419,0.2528369040330057,0.262,0.5083179258826773,0.5138502259904766,0.4187612387612388,0.3695796612739609,0.29,0.1537681690989709
0.9284211553025483,0.7975220971379036,0.782,0.9056169631195411,0.9052517322418949,0.4165634365634366,0.7894096313222306,0.345,0.5418438228636026
0.6950658551376123,0.5360744325222631,0.615,0.6938994744501499,0.6412490001123727,0.3753646353646354,0.5193133412089497,0.349,0.1537681690989709
0.7378344610780496,0.3626560886659119,0.391,0.5176090746518058,0.5076109392175705,0.37136863136863135,0.66808015155009,0.384,0.5418438228636026
0.9853230894987128,0.7552395721076319,0.793,0.8910586468181896,0.8767894377795824,0.3372427572427572,0.9916038004375557,0.417,0.5418438228636026
0.7713588647960079,0.8677546481473624,0.931,0.9571712212725657,0.9261587840511587,0.40021978021978016,0.6579408146195223,0.244,0.9426118451675107
0.8035168134986703,0.35444152340539353,0.425,0.7213937018971839,0.6751980631246083,0.4005994005994006,0.4859237857849581,0.391,0.7789297476370726
0.657108295825412,0.34512077389119117,0.211,0.6178915682767332,0.6865641954376873,0.32671328671328675,0.2763930485088183,0.398,0.5418438228636026
0.974471033712968,0.5403300245508261,0.424,0.5855569848694218,0.6572903329477925,0.384015984015984,0.9614605816009048,0.433,0.06609348855845944
0.867128162321336,0.8066862636367901,0.888,0.9040462171695709,0.8684415022940037,0.40568431568431573,0.735899871431535,0.307,0.5385059176838712
0.6811080397326107,0.4433363020607526,0.433,0.6817269145067135,0.6729758662680342,0.3808191808191808,0.5707621397910849,0.291,0.7765939257181219
0.69561453835611875,0.9759636370790937,0.945,0.9809051837276817,0.9868050377346788,0.3534765234765235,0.4666282593237023,0.351,0.7789297476370726
0.8341677814045271,0.2544385047122298,0.383,0.6170549574311064,0.5095073917929749,0.3994305694305695,0.7536626621608535,0.33,0.7812442219142368
0.9391615542701536,0.7141619828710244,0.677,0.8865522959188754,0.9005020068597805,0.3837962037962038,0.7091674312857497,0.348,0.7765939257181219
0.9610816696682632,0.5735887382509925,0.758,0.8187089137911967,0.7193854812080902,0.39683316683316683,0.9398814246921523,0.436,0.5385059176838712
0.7257227690038771,0.3542783329139159,0.413,0.46768039033905195,0.42874842624216325,0.3333266733266734,0.7014348629678595,0.403,0.3128262607851759
0.9995028047609273,0.5771951156896672,0.638,0.8118182201101972,0.7927796865970125,0.3906093906093906,0.990659440580276,0.317,0.02437363612997934
0.9150534074532634,0.13696553997745634,0.234,0.6025684354498394,0.5293924650905388,0.3739560439560439,0.7472999583949294,0.34,0.1537681690989709
0.9128696625628576,0.9854831388737435,0.887,0.9620910996279145,0.9929259039543163,0.38235764235764236,0.8089269136280476,0.482,0.5385059176838712
0.5924342074462835,0.39748141098805606,0.229,0.5063867979804809,0.6004753579273308,0.38463536463536463,0.4902564468871633,0.4,0.5385059176838712
0.5249700379843234,0.0032455942430301555,0.005,0.28700288381763944,0.2831249654099035,0.37714285714285717,0.01852915576262572,0.406,0.7765939257181219
0.8306927215484303,0.4115215946932128,0.227,0.5131016088464092,0.63981717763565,0.3841458541458541,0.7373431584586312,0.317,0.02437363612997934
0.8703115615631685,0.28557994426531397,0.315,0.6233258116981473,0.5988153056634125,0.3956143856143856,0.794423160976133,0.282,0.3128262607851759
0.8965873594575119,0.5513037930090606,0.575,0.818511441670479,0.8014191995666239,0.3809290709290709,0.7140025259252465,0.485,0.1537681690989709
0.6419113835220509,0.14340583784920663,0.184,0.5649377766312211,0.5428910634788149,0.39435564435564435,0.00860003230592832,0.355,0.7812442219142368
0.9874660028528128,0.5979637270766113,0.592,0.7264614900904127,0.7312969463642983,0.36180819180819185,0.9775589987143203,0.347,0.5418438228636026
0.7631130956114042,0.2965071554096436,0.289,0.5415147313573199,0.5448883471710125,0.39904095904095904,0.7094689771525469,0.365,0.3128262607851759
0.6196606741954076,0.9185121668646787,0.898,0.944216190736028,0.9539237634925269,0.3726273726273726,0.45247000156272277,0.256,0.3128262607851759
0.9568232508761948,0.6152113587861016,0.708,0.8297412113439095,0.7913875604018359,0.3890709290709291,0.9314423159232104,0.259,0.1537681690989709
0.5986753393086389,0.3423707486373278,0.282,0.5344460623432263,0.5880178159232166,0.3332967032967033,0.35365763211421974,0.235,0.02380629535406692
0.7885843729015134,0.6077875496786187,0.679,0.8175587848582266,0.7799087876317139,0.40785214785214785,0.6243676474851436,0.33,0.5385059176838712
0.9176499400705629,0.27957469907877575,0.377,0.6474164130323617,0.5839811777606649,0.35278721278721276,0.7571190356081101,0.326,0.15598217618332708
0.8650445443893907,0.24121609757779167,0.276,0.4294402196787961,0.40261816129764305,0.39941058941058943,0.7404808143423758,0.333,0.02495020611997788
