"meaca" "meaca_n" "MRGSE" "SigPathway" "CAMERA_ModT" "CAMERA_Rank" "GSEA" "QuSAGE" "p_ora" "testSetCor" "interCor" "backSetCor" "status"
0.233391661861731 0.233391661861731 0.0385600149596531 0.232 0.777207022649447 0.643132860386857 0.000999000999000999 0.473718002957636 0.757608633230796 0.0971660560522806 0.0974677060857648 0.0995608418355858 "down"
0.826523620955648 0.43832460218295 0.946089232607009 0.658 0.918067633808517 0.987035091667932 0.000999000999000999 0.789707935657802 0.630313774892324 0.0838951960906671 0.0831211742027049 0.0829183318673843 "down"
0.568816360782931 0.568816360782931 0.318920997380933 0.467 0.888763189229577 0.844358664575136 0.000999000999000999 0.738015257405894 0.185928781805171 0.127363521809347 0.121908349655748 0.118482322626023 "up"
0.555222142622575 0.555222142622575 0.118616452646226 0.599 0.896150531225313 0.704818952336643 0.000999000999000999 0.738720494661222 0.272589187741341 0.0819911582333339 0.0849600908889791 0.0883402702275782 "up"
0.327345145224659 0.327345145224659 0.771014066890689 0.364 0.845743470713017 0.950417739580099 0.000999000999000999 0.623051398356076 0.753182026232141 0.107527572613383 0.110890367086299 0.116457240808618 "down"
0.651834341392083 0.651834341392083 0.332645918318203 0.657 0.915608046673012 0.810670884001382 0.000999000999000999 0.786956205481729 0.642513353904544 0.0788962847563737 0.0777185711709023 0.07781025948483 "up"
0.88436310706545 0.29088095731379 0.287269762631234 0.842 0.970945430563125 0.830637910498018 0.000999000999000999 0.930301949165941 0.111304648266085 0.122109586119582 0.117963607633375 0.116702411613371 "up"
0.239813972763858 0.239813972763858 0.147911660235303 0.355 0.825143659401099 0.719183601651171 0.000999000999000999 0.579128847379467 0.449861282380455 0.0780139553604312 0.0841666781915449 0.0911931912991587 "up"
0.118992755035607 0.118992755035606 0.936128524823884 0.129 0.79726166529572 0.988508405209845 0.0066967032967033 0.525151870519553 0.905374343778013 0.154056605075018 0.152805160325053 0.15361294029455 "down"
0.77462710112933 0.572655512734312 0.415100974234685 0.692 0.91980799415889 0.833102411282942 0.000999000999000999 0.791408488044332 0.721714819627194 0.0717130311227071 0.0697413475277385 0.0698206208960862 "down"
