"meaca" "meaca_n" "MRGSE" "SigPathway" "CAMERA_ModT" "CAMERA_Rank" "GSEA" "QuSAGE" "p_ora" "testSetCor" "interCor" "backSetCor" "status"
3.844841112155e-10 3.84484222237802e-10 0.000255481410699004 0.001 0.0306676413586851 0.205200818695276 0.000999000999000999 0.000447710284840657 2.35413747959014e-09 0.0919526750183718 0.0940258069754347 0.142802035772815 "up"
3.54578114203363e-07 3.54578114203363e-07 0.00241515295416653 0.001 0.0259451631497237 0.192068956345771 0.000999000999000999 0.00193941478451751 6.45289362242557e-07 0.0550183479428726 0.0574209670201388 0.0891435720221784 "up"
4.9345593926553e-06 4.9345593926553e-06 0.785027954363978 0.001 0.110157521537408 0.920919283488067 0.000999000999000999 0.0111029658597315 3.34518262460111e-11 0.0837071806227759 0.0825562831635594 0.122279001292091 "up"
2.84323058430402e-08 2.84323058430402e-08 0.0227415552647336 0.001 0.099324781714503 0.479766424382313 0.000999000999000999 0.0136910536360076 2.01504586205485e-05 0.119420754699437 0.125791947966339 0.194624524937407 "up"
5.44009282066327e-15 5.32907051820075e-15 4.60122126038036e-06 0.001 0.0117880811666992 0.162839780406297 0.000999000999000999 1.29656182101828e-05 0 0.122327284584684 0.118519551591556 0.177090780266548 "up"
1.22124532708767e-15 1.33226762955019e-15 0.000433240145618242 0.001 0.00568393511830375 0.193402597033521 0.000999000999000999 1.11467440173647e-06 5.52377910001422e-17 0.0791248662019813 0.0799187957941246 0.116739035059118 "up"
9.39195166083096e-10 9.39195166083096e-10 0.0017313360363994 0.001 0.02473113591309 0.259163880838507 0.000999000999000999 8.79185713085953e-05 6.34142980751902e-09 0.0844403342059755 0.0835113714556018 0.123685109147034 "up"
4.67269042458973e-07 4.67269042569995e-07 0.0692860394677394 0.001 0.0463607888288549 0.454272467036699 0.000999000999000999 0.00483559871743001 1.29345306462873e-08 0.0620219520418355 0.0673037799283441 0.104954954251404 "up"
7.77221431658148e-09 7.77221442760379e-09 0.02602071098299 0.001 0.0612655061229597 0.484021264751156 0.000999000999000999 0.000931458402042522 4.24516594680188e-10 0.115953873353563 0.108357290857775 0.156486208002829 "up"
1.30647408225215e-07 1.30647408225215e-07 0.276426337929571 0.001 0.106717689757375 0.711762736924713 0.000999000999000999 0.00913065883655114 1.34198340448245e-11 0.0980142147884284 0.101332163047776 0.151385886577121 "up"
2.69048722600918e-06 2.6904872261202e-06 0.654959599083318 0.001 0.138276789925676 0.879939137891184 0.000999000999000999 0.0148977551489286 0 0.0991267043559351 0.104238525011593 0.158919120940093 "up"
3.3397729026774e-12 3.3397729026774e-12 0.0150265098906924 0.001 0.0200835248272219 0.398073644026763 0.000999000999000999 3.24143575917207e-05 2.53623633445595e-10 0.0922968283656748 0.0978935879809241 0.149693607954686 "up"
1.79561753244073e-08 1.7956175213385e-08 0.0326050801062539 0.001 0.0502825204668349 0.461563841300915 0.000999000999000999 0.0043177746856018 0 0.0943126907940738 0.094864469215955 0.143922411653617 "up"
8.41345659807757e-10 8.41345659807757e-10 0.0633412011699072 0.001 0.0493716839397586 0.534707428656276 0.000999000999000999 0.00167053194248776 5.50182696013646e-11 0.10114631386501 0.102431305438137 0.150522487580779 "up"
1.59921608859914e-05 1.59921608859914e-05 0.0653494496615947 0.001 0.115505006603109 0.522353078922768 0.000999000999000999 0.0305243283390922 1.29345306462873e-08 0.0928670111993808 0.0895428054149984 0.135974267985038 "up"
1.19330095693648e-07 1.19330095804671e-07 0.0513104963002086 0.001 0.0714312595777948 0.488291208219674 0.000999000999000999 0.00547411739685049 0 0.0878043048395614 0.0887943206231716 0.13259166396257 "up"
7.17327210963958e-08 7.17327210963958e-08 0.0171006612359205 0.001 0.0526273778635465 0.40586680850984 0.000999000999000999 0.000910216046720741 0 0.0916828363380392 0.0891503873887236 0.134820548300226 "up"
4.91219542819721e-08 4.91219542819721e-08 0.112399817758706 0.001 0.0419492884343158 0.545356515557696 0.000999000999000999 0.000781915670503494 0 0.0749355342619541 0.0854996354089572 0.139000005965317 "up"
1.03937969342383e-10 1.03937969342383e-10 0.0014453240469425 0.001 0.0218374816228738 0.231935761488912 0.000999000999000999 0.000402921509601968 0 0.0766049877612244 0.0784226182014742 0.117990240458503 "up"
1.14248510540982e-07 1.14248510652004e-07 0.239355906563934 0.001 0.0946217578826543 0.7021572879397 0.000999000999000999 0.00565966291751043 1.34198340448245e-11 0.108113628145813 0.114052450969397 0.175359819301164 "up"
1.00705695915693e-06 1.00705695915693e-06 0.796950106539569 0.002 0.0857485804487765 0.919149514615118 0.000999000999000999 0.00385723299985883 4.24516594680188e-10 0.0692874476256821 0.0697634963710195 0.101150305532733 "up"
2.72606015538912e-09 2.72606004436682e-09 0.00358796557441234 0.001 0.080145388435219 0.359711717670299 0.000999000999000999 0.00954682128543754 0 0.115407978460831 0.119506855378899 0.181639156852576 "up"
3.76845595839725e-08 3.76845594729502e-08 0.034343138134396 0.001 0.147170957073663 0.555912618663418 0.000999000999000999 0.0210213915264269 0 0.151799525700758 0.14456014541167 0.206884971675605 "up"
0.000604999957838137 0.000604999957838137 0.829369895458374 0.002 0.287092237608965 0.950186652818149 0.000999000999000999 0.134068076778446 1.55579129761061e-06 0.139471177413983 0.133158925589518 0.198749296005567 "up"
